# Generated from FirepadCN/pocket_dict_5000 (MIT), derived from ECDICT (MIT).
# word<TAB>concise Simplified Chinese meaning
a	第一个字母A
catered	提供饮食及服务
catering	提供饮食及服务
caters	提供饮食及服务
cathedral	大教堂
cathedrals	大教堂
catholic	天主教徒
catholics	天主教徒
cats	猫
catted	猫
catting	猫
cattle	牛
caught	捕捉
cause	原因
caused	原因
causes	原因
causing	原因
caution	小心
cautioned	小心
cautioning	小心
cautions	小心
cautious	谨慎的
cave	洞
caved	洞
caves	洞
caving	洞
cd	镭射碟
cd-rom	光盘驱动器
cd-roms	光盘驱动器
cds	镭射碟
cease	停止
ceased	停止
ceases	停止
ceasing	停止
ceiling	天花板
ceilings	天花板
celebrate	庆祝
celebrated	庆祝
celebrates	庆祝
celebrating	庆祝
celebration	庆祝
celebrations	庆祝
cell	单元
cellar	地窖
cellars	地窖
cellphone	蜂窝式便携无线电话
cellphones	蜂窝式便携无线电话
cells	单元
cent	分
center	中心
centered	中心
centering	中心
centers	中心
centigrade	百分度的
centimetre	厘米
centimetres	厘米
central	中央的
centre	中心
centred	中心
centres	中心
centring	中心
cents	分
centuries	世纪
century	世纪
ceo	abbr.首席执行官
ceos	abbr.首席执行官
ceremonies	典礼
ceremony	典礼
certain	确定的
certainly	确定地
certificate	证书
certificated	证书
certificates	证书
certificating	证书
chain	链
chained	链
chaining	链
chains	链
chair	椅子
chaired	椅子
chairing	椅子
chairman	主席
chairmanned	主席
chairmanning	主席
chairmans	主席
chairmen	主席
chairs	椅子
chairwoman	女主席
chairwomen	女主席
chalk	粉笔
chalked	粉笔
chalking	粉笔
chalks	粉笔
challenge	挑战
challenged	挑战
challenges	挑战
challenging	挑战的
chamber	室
chambered	室
chambering	室
chambers	室
champion	冠军
championed	冠军
championing	冠军
champions	冠军
championship	冠军身份
championships	冠军身份
chance	机会
chanced	机会
chancellor	大臣
chancellors	大臣
chances	机会
chancing	机会
change	变化
changeable	可改变的
changed	变化
changes	变化
changing	变化
channel	海峡
channelled	海峡
channelling	海峡
channels	海峡
chant	圣歌
chanted	圣歌
chanting	圣歌
chants	圣歌
chaos	大混乱
chapter	章
chapters	章
character	个性
charactered	个性
charactering	个性
characteristic	特性
characteristics	特性
characters	个性
charge	指控
charged	指控
charges	指控
charging	指控
charities	慈悲
charity	慈悲
charles	查尔斯
chart	图表
charted	图表
charting	图表
charts	图表
chase	追求
chased	追求
chases	追求
chasing	追求
chat	闲谈
chats	闲谈
chatted	闲谈
chatting	闲谈
cheap	便宜的
cheaper	便宜的
cheapest	便宜的
cheaply	便宜地
cheat	欺骗
cheated	欺骗
cheating	欺骗
cheats	欺骗
check	检查
checked	检查
checking	检查
checks	检查
cheek	颊
cheeked	颊
cheeking	颊
cheeks	颊
cheer	愉快
cheered	愉快
cheerful	快活的
cheerfully	高高兴兴地
cheering	愉快
cheers	干杯
cheese	乳酪
cheesed	乳酪
cheeses	乳酪
cheesing	乳酪
chef	厨师
chefs	厨师
chemical	化学药品
chemicals	化学药品
chemist	化学家
chemistry	化学
chemists	化学家
cheque	支票
cheques	支票
chess	国际象棋
chest	胸
chested	胸
chests	胸
chew	咀嚼
chewed	咀嚼
chewing	咀嚼
chews	咀嚼
chick	小鸡
chicken	小鸡
chickened	小鸡
chickening	小鸡
chickens	小鸡
chicks	小鸡
chief	领袖
chiefs	领袖
child	孩子
childhood	孩童时期
childhoods	孩童时期
children	孩子
chimney	烟囱
chimneys	烟囱
chin	下巴
china	中国
chinese	中文
chinned	下巴
chinning	下巴
chins	下巴
chip	屑片
chipped	屑片
chipping	屑片
chips	炸土豆条
chocolate	巧克力
chocolates	巧克力
choice	选择
choices	选择
choir	唱诗班
choirs	唱诗班
choke	窒息
choked	窒息
chokes	窒息
choking	窒息
choose	选择
chooses	选择
choosing	选择
chop	肋条肉
chopped	肋条肉
chopping	肋条肉
chops	肋条肉
chopsticks	筷子
chorus	合唱队
chorused	合唱队
choruses	合唱队
chorusing	合唱队
chose	选择
chosen	选择
chris	克里斯
christ	基督
christian	基督徒
christians	基督徒
christmas	圣诞节
christmases	圣诞节
church	教堂
churched	教堂
churches	教堂
churching	教堂
cigar	雪茄
cigarette	香烟
cigarettes	香烟
cigars	雪茄
cinema	电影院
cinemas	电影院
circle	圆周
circled	圆周
circles	圆周
circling	圆周
circuit	电路
circuited	电路
circuiting	电路
circuits	电路
circumstance	环境
circumstances	环境
circus	马戏团
circuses	马戏团
cite	引用
cited	引用
cites	引用
cities	城市
citing	引用
citizen	市民
citizens	市民
city	城市
civil	市民的
civilian	平民
civilians	平民
civilization	文明
civilizations	文明
claim	要求
claimed	要求
claiming	要求
claims	要求
clap	拍手
clapped	拍手
clapping	拍手
claps	拍手
clarified	澄清
clarifies	澄清
clarify	澄清
clarifying	澄清
class	班级
classed	班级
classes	班级
classic	古典作品
classical	古典的
classicals	古典的
classics	古典作品
classified	分类
classifies	分类
classify	分类
classifying	分类
classing	班级
classmate	同班同学
classmates	同班同学
classroom	教室
classrooms	教室
clause	子句
clauses	子句
claw	爪
clawed	爪
clawing	爪
claws	爪
clay	泥土
clays	泥土
clean	干净的
cleaned	干净的
cleaner	清洁工人
cleaners	清洁工人
cleanest	干净的
cleaning	干净的
cleans	干净的
clear	清楚的
cleared	清楚的
clearer	清楚的
clearest	清楚的
clearing	清楚的
clearly	清楚地
clears	清楚的
clerk	办事员
clerked	办事员
clerking	办事员
clerks	办事员
clever	聪明的
cleverer	聪明的
cleverest	聪明的
click	咔哒声
clicked	咔哒声
clicking	咔哒声
clicks	咔哒声
client	客户
clients	客户
climate	气候
climates	气候
climb	攀登
climbed	攀登
climbing	攀缘而登的
climbs	攀登
clinic	诊所
clinical	临床的
clinics	诊所
clock	时钟
clocked	时钟
clocking	时钟
clocks	时钟
clone	无性系
cloned	无性系
clones	无性系
cloning	无性系
close	结束
closed	关闭的
closely	接近地
closer	结束
closes	结束
closest	结束
closet	壁橱
closeted	壁橱
closeting	壁橱
closets	壁橱
closetting	壁橱
closing	结束
cloth	布料
clothes	衣服
clothing	衣服
cloths	布料
cloud	云
clouded	云
cloudier	多云的
clouding	云
clouds	云
cloudy	多云的
club	俱乐部
clubbed	俱乐部
clubbing	俱乐部
clubs	俱乐部
clumsier	笨拙的
clumsiest	笨拙的
clumsy	笨拙的
cm	厘米
cms	厘米
co	钴
coach	四轮大马车
coached	四轮大马车
coaches	四轮大马车
coaching	四轮大马车
coachs	四轮大马车
coal	煤
coaled	煤
coaling	煤
coalition	结合体
coalitions	结合体
coals	煤
coast	海岸
coasted	海岸
coasting	海岸
coasts	海岸
coat	外套
coated	外套
coating	外套
coats	外套
cock	公鸡
cocked	公鸡
cocking	公鸡
cocks	公鸡
cocoa	可可粉
cocoas	可可粉
code	代码
coded	代码
codes	代码
coding	代码
coffee	咖啡
coffees	咖啡
coin	硬币
coincidence	巧合
coincidences	巧合
coined	硬币
coining	硬币
coins	硬币
coke	可口可乐
coked	可口可乐
cokes	可口可乐
coking	可口可乐
cold	感冒
colder	感冒
coldest	感冒
coldly	冷淡地
colds	感冒
collapse	崩溃
collapsed	崩溃
collapses	崩溃
collapsing	崩溃
collar	衣领
collared	衣领
collaring	衣领
collars	衣领
colleague	同事
colleagues	同事
collect	收集
collected	收集
collecting	收集
collection	收集
collections	收集
collects	收集
college	学院
colleges	学院
collision	碰撞
collisions	碰撞
color	颜色
colored	颜色
coloring	颜色
colors	颜色
colour	颜色
coloured	有色的
coloureds	有色的
colouring	颜色
colours	颜色
column	专栏
columns	专栏
comb	头梳
combed	头梳
combination	组合
combinations	组合
combing	头梳
combs	头梳
come	过来
comedies	喜剧
comedy	喜剧
comes	过来
comfort	舒适
comfortable	舒服的
comfortably	安乐地
comforted	舒适
comforting	舒适
comforts	舒适
coming	过来
comma	逗点
command	命令
commanded	命令
commander	司令官
commanders	司令官
commanding	命令
commands	命令
commas	逗点
comment	注解
commented	注解
commenting	注解
comments	注解
commercial	商业的
commercials	商业的
commission	委任状
commissioned	委任状
commissioning	委任状
commissions	委任状
commit	委托
commitment	委托
commitments	委托
commits	委托
committed	委托
committee	委员会
committees	委员会
committing	委托
common	通常的
commonly	一般
commons	平民
communicate	显露
communicated	显露
communicates	显露
communicating	显露
communication	交流
communications	交流
communism	共产主义
communist	共产主义者
communists	共产主义者
communities	社区
community	社区
companied	公司
companies	公司
companion	朋友
companioned	朋友
companioning	朋友
companions	朋友
company	公司
companying	公司
compare	比较
compared	比较
compares	比较
comparing	比较
comparison	比较
comparisons	比较
compass	指南针
compassed	指南针
compasses	指南针
compassing	指南针
compensate	偿还
compensated	偿还
compensates	偿还
compensating	偿还
compensation	补偿
compensations	补偿
compete	竞争
competed	竞争
competence	胜任
competences	胜任
competes	竞争
competing	竞争
competition	竞争
competitions	竞争
competitive	竞争的
competitor	竞争者
competitors	竞争者
complain	抱怨
complained	抱怨
complaining	抱怨
complains	抱怨
complaint	诉苦
complaints	诉苦
complete	完全的
completed	完全的
completely	完全地
completes	完全的
completing	完全的
complex	综合体
complexed	综合体
complexes	综合体
complicate	弄复杂
complicated	复杂的
complicates	弄复杂
complicating	弄复杂
component	元件
components	元件
composition	作文
compositions	作文
comprehension	理解
comprehensive	广泛的
comprehensives	广泛的
comprise	包含
comprised	包含
comprises	包含
comprising	包含
compromise	妥协
compromised	妥协
compromises	妥协
compromising	妥协
compulsory	被强制的
computer	电脑
computers	电脑
comrade	同志
comrades	同志
concentrate	浓缩
concentrated	浓缩
concentrates	浓缩
concentrating	浓缩
concentration	集中
concentrations	集中
concept	观念
concepts	观念
concern	关心
concerned	关心的
concerning	关于
concerns	关心
concert	音乐会
concerting	音乐会
concerts	音乐会
conclude	结束
concluded	结束
concludes	结束
concluding	结束
conclusion	结论
conclusions	结论
concrete	凝结物
concreted	凝结物
concretes	凝结物
concreting	凝结物
condemn	判刑
condemned	判刑
condemning	判刑
condemns	判刑
condition	情况
conditioned	情况
conditioning	情况
conditions	情况
conduct	行为
conducted	行为
conducting	行为
conductor	领导者
conductors	领导者
conducts	行为
conference	会议
conferences	会议
confidence	信心
confidences	信心
confident	有信心的
confidential	机密的
confidently	自信地
confine	限制
confined	被限制的
confines	限制
confining	限制
confirm	证实
confirmed	证实
confirming	证实
confirms	证实
conflict	战斗
conflicted	战斗
conflicting	战斗
conflicts	战斗
confront	使面对
confronted	使面对
confronting	使面对
confronts	使面对
confuse	使混乱
confused	困惑的
confuses	使混乱
confusing	令人困惑的
confusion	混乱
confusions	混乱
congratulate	祝贺
congratulated	祝贺
congratulates	祝贺
congratulating	祝贺
congratulation	祝贺
congratulations	祝贺词
congress	国会
congresses	国会
congressional	会议的
connect	连接
connected	连接
connecting	连接
connection	连接
connections	连接
connects	连接
conscience	良心
consciences	良心
conscious	有意识的
consensus	合意
consent	同意
consented	同意
consenting	同意
consents	同意
consequence	结果
consequences	结果
conservation	保护
conservative	保守的
conservatives	保守的
consider	考虑
considerable	相当的
considerably	非常地
considerate	体贴的
consideration	考虑
considerations	考虑
considered	考虑
considering	考虑
considers	考虑
consist	组成
consisted	组成
consistent	一致的
consisting	组成
consists	组成
constant	常数
constantly	不变地
constants	常数
constitute	构成
constituted	构成
constitutes	构成
constituting	构成
constitution	构成
constitutions	构成
construct	构造
constructed	构造
constructing	构造
construction	建筑
constructions	建筑
constructs	构造
consult	商讨
consultant	顾问
consultants	顾问
consulted	商讨
consulting	商讨
consults	商讨
consume	消耗
consumed	消耗
consumer	消费者
consumers	消费者
consumes	消耗
consuming	消耗
consumption	消费
contact	联系
contacted	联系
contacting	联系
contacts	联系
contain	包含
contained	包含
container	容器
containers	容器
containing	包含
contains	包含
contemporaries	同时代的人
contemporary	同时代的人
content	内容
contented	内容
contenting	内容
contents	内容
contest	竞赛
contested	竞赛
contesting	竞赛
contests	竞赛
context	上下文
contexts	上下文
continent	大陆
continents	大陆
continue	继续
continued	继续
continues	继续
continuing	继续的
continuous	连续的
continuously	不断地
contract	合约
contracted	合约
contracting	合约
contracts	合约
contradict	反驳
contradicted	反驳
contradicting	反驳
contradictories	反驳的
contradictory	反驳的
contradicts	反驳
contraries	相反的
contrary	相反的
contrast	差别
contrasted	差别
contrasting	对比
contrasts	差别
contribute	有助于
contributed	有助于
contributes	有助于
contributing	有助于
contribution	捐助
contributions	捐助
control	控制
controlled	受约束的
controlling	控制
controls	控制
controversial	争论的
convenience	方便
conveniences	方便
convenient	方便的
convention	大会
conventional	传统的
conventions	大会
conversation	会话
conversations	会话
convert	皈依者
converted	皈依者
converting	皈依者
converts	皈依者
convey	传达
conveyed	传达
conveying	传达
conveys	传达
convince	说服
convinced	说服
convinces	说服
convincing	说服
cook	厨子
cooked	厨子
cooker	炊事用具
cookers	炊事用具
cookie	饼干
cooking	烹饪
cooks	厨子
cool	凉爽
cooled	凉爽
cooler	凉爽
coolest	凉爽
cooling	凉爽
cools	凉爽
cop	警官
cope	竞争
coped	竞争
copes	竞争
copied	副本
copies	副本
coping	竞争
copped	警官
copping	警官
cops	警官
copy	副本
copying	副本
coral	珊瑚
corals	珊瑚
cordless	无绳索的
core	核心
cored	核心
cores	核心
coring	核心
corn	玉蜀黍
corned	玉蜀黍
corner	角落
cornered	角落
cornering	角落
corners	角落
corning	玉蜀黍
corns	玉蜀黍
corp	公司
corporate	社团的
corporates	社团的
corporation	公司
corporations	公司
correct	正确的
corrected	正确的
correcting	正确的
correction	订正
corrections	订正
correctly	对
corrects	正确的
correspond	符合
corresponded	符合
corresponding	符合
corresponds	符合
corrupt	腐败的
corrupted	腐败的
corrupter	腐败的
corrupting	腐败的
corrupts	腐败的
cos	余弦
cosied	温暖舒适的
cosier	温暖舒适的
cosies	温暖舒适的
cosiest	温暖舒适的
cost	代价
costed	代价
costing	代价
costs	代价
cosy	温暖舒适的
cosying	温暖舒适的
cottage	小屋
cottages	小屋
cotton	棉花
cottoned	棉花
cottoning	棉花
cottons	棉花
cough	咳嗽
coughed	咳嗽
coughing	咳嗽
coughings	咳嗽
coughs	咳嗽
could	可以
council	会议
councillor	地方议会成员
councillors	地方议会成员
councils	会议
count	计算
counted	计算
counter	计算器
countered	计算器
countering	计算器
counters	计算器
counties	县
counting	计算
countries	国家
country	国家
countryside	乡下地方
counts	计算
county	县
couple	对
coupled	对
couples	对
coupling	对
courage	勇气
course	课程
coursed	课程
courses	课程
coursing	课程
court	法院
courted	法院
courting	法院
courts	法院
courtyard	庭院
courtyards	庭院
cousin	堂兄弟姊妹
cousins	堂兄弟姊妹
cover	盖子
coverage	覆盖的范围
coverages	覆盖的范围
covered	隐蔽着的
covering	覆盖物
